Day,Date,ID,Condition,Replicate,Count1,Count2,Count3,Mean,S.E.
0,20240220,Cont-1,Control,1,346000,299000,252000,299000,27135.46265
0,20240220,Cont-2,Control,2,188000,194000,205000,195666.6667,4977.728174
0,20240220,Cont-3,Control,3,211000,217000,358000,262000,48031.23983
0,20240220,Lin-1,Linear,1,340000,282000,117000,246333.3333,66799.03526
0,20240220,Lin-2,Linear,2,164000,217000,240000,207000,22501.85178
0,20240220,Lin-3,Linear,3,147000,311000,170000,209333.3333,51265.10617
0,20240220,Lin-4,Linear,4,246000,282000,282000,270000,12000
0,20240220,Lin-5,Linear,5,152000,170000,405000,242333.3333,81499.14792
0,20240220,Lin-6,Linear,6,123000,135000,170000,142666.6667,14098.85732
0,20240220,Lin-7,Linear,7,199000,164000,217000,193333.3333,15559.92002
0,20240220,SD025-1,SD025,1,258000,258000,176000,230666.6667,27333.33333
0,20240220,SD025-2,SD025,2,264000,270000,111000,215000,52028.83816
0,20240220,SD025-3,SD025,3,287000,93400,240000,206800,58300.71469
0,20240220,SD025-4,SD025,4,252000,223000,252000,242333.3333,9666.666667
0,20240220,SD025-5,SD025,5,217000,188000,657000,354000,151731.1218
0,20240220,Sd025-6,SD025,6,369000,147000,135000,217000,76078.90641
0,20240220,SD025-7,SD025,7,58400,111000,270000,146466.6667,63605.69506
0,20240220,SD100-1,SD100,1,235000,246000,82100,187700,52895.39993
0,20240220,SD100-2,SD100,2,147000,182000,334000,221000,57396.28327
0,20240220,SD100-3,SD100,3,88000,135000,305000,176000,65911.5569
0,20240220,SD100-4,SD100,4,135000,82600,452000,223200,115395.7249
0,20240220,SD100-5,SD100,5,135000,282000,235000,217333.3333,43344.87026
0,20240220,SD100-6,SD100,6,117000,452000,135000,234666.6667,108790.8289
0,20240220,SD100-7,SD100,7,357000,76400,82100,171833.3333,92597.95414
1,20240221,Cont-1,Control,1,23500,0,0,7833.333333,7833.333333
1,20240221,Cont-2,Control,2,5860,0,0,1953.333333,1953.333333
1,20240221,Cont-3,Control,3,0,0,0,0,0
1,20240221,Lin-1,Linear,1,240000,88000,35200,121066.6667,61388.96028
1,20240221,Lin-2,Linear,2,52800,158000,481000,230600,128830.4829
1,20240221,Lin-3,Linear,3,282000,117000,99700,166233.3333,58098.37443
1,20240221,Lin-4,Linear,4,375000,70400,92100,179166.6667,98116.84078
1,20240221,Lin-5,Linear,5,182000,64500,141000,129166.6667,34431.49398
1,20240221,Lin-6,Linear,6,434000,199000,205000,279333.3333,77352.72745
1,20240221,Lin-7,Linear,7,158000,264000,211000,211000,30599.56427
1,20240221,SD025-1,SD025,1,364000,282000,152000,266000,61719.79693
1,20240221,SD025-2,SD025,2,199000,387000,88000,224666.6667,87262.69408
1,20240221,SD025-3,SD025,3,64500,305000,258000,209166.6667,73594.79903
1,20240221,SD025-4,SD025,4,147000,135000,299000,193666.6667,52780.46777
1,20240221,SD025-5,SD025,5,129000,264000,117000,170000,47127.48667
1,20240221,Sd025-6,SD025,6,70400,252000,328000,216800,76417.10105
1,20240221,SD025-7,SD025,7,35200,369000,164000,189400,97193.07246
1,20240221,SD100-1,SD100,1,223000,141000,199000,187666.6667,24340.18168
1,20240221,SD100-2,SD100,2,411000,481000,194000,362000,86396.37338
1,20240221,SD100-3,SD100,3,194000,188000,93800,158600,32446.26327
1,20240221,SD100-4,SD100,4,211000,258000,323000,264000,32470.49943
1,20240221,SD100-5,SD100,5,199000,487000,340000,342000,83144.45261
1,20240221,SD100-6,SD100,6,164000,293000,182000,213000,40336.08806
1,20240221,SD100-7,SD100,7,147000,205000,194000,182000,17785.7621
2,20240222,Cont-1,Control,1,106000,5860,0,37286.66667,34398.28743
2,20240222,Cont-2,Control,2,132000,88000,70400,96800,18318.6608
2,20240222,Cont-3,Control,3,0,158000,135000,97666.66667,49282.6316
2,20240222,Lin-1,Linear,1,164000,158000,117000,146333.3333,14768.58528
