Week,Day,Date,Time,ID,Condition,Replicate,Count1,Count2,Count3,Mean,S.E.
1,0,2023/11/28,0,Cont-1,Control,1,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Cont-2,Control,2,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Cont-3,Control,3,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Lin-1,Linear,1,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Lin-2,Linear,2,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Lin-3,Linear,3,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Lin-4,Linear,4,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Lin-5,Linear,5,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Lin-6,Linear,6,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Lin-7,Linear,7,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD025-1,SD025,1,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD025-2,SD025,2,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD025-3,SD025,3,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD025-4,SD025,4,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD025-5,SD025,5,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,Sd025-6,SD025,6,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD025-7,SD025,7,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD100-1,SD100,1,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD100-2,SD100,2,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD100-3,SD100,3,98750,108000,104000,103583.3333,2678.35978
1,0,2023/11/28,0,SD100-4,SD100,4,98750,108000,104000,103583.3333,2678.35978
