Condition,Week,NaCl
Control,1,0
Linear,1,0.05
SD025,1,0.075
SD100,1,0.15
Control,2,0
Linear,2,0.1
SD025,2,0.1
SD100,2,0.1
Control,3,0
Linear,3,0.15
SD025,3,0.125
SD100,3,0.05
Control,4,0
Linear,4,0.2
SD025,4,0.2
SD100,4,0.2
Control,5,0
Linear,5,0.25
SD025,5,0.275
SD100,5,0.35
Control,6,0
Linear,6,0.3
SD025,6,0.3
SD100,6,0.3
Control,7,0
Linear,7,0.35
SD025,7,0.325
SD100,7,0.25
Control,8,0
Linear,8,0.4
SD025,8,0.4
SD100,8,0.4
Control,9,0
Linear,9,0.45
SD025,9,0.475
SD100,9,0.55
Control,10,0
Linear,10,0.5
SD025,10,0.5
SD100,10,0.5
Control,11,0
Linear,11,0.55
SD025,11,0.525
SD100,11,0.45
Control,12,0
Linear,12,0.6
SD025,12,0.6
SD100,12,0.6
