"","X","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","alpha_0","beta","gamma","w","a","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"1",1,1.915259,68.75247,0.184562,0.367691,6.1e-05,21417.48,0.575451,0.000116,20739.79,0.568491,0.000122,16656.38,0.540578,0.000182,1.915259,68.75247,0.184562,0.367691,6.1e-05,19683.7713725645,0.560775809112477,0.000131265155927288,18474.123307595,0.552203902104744,0.000148228636656243,12578.684892928,0.520210903638864,0.000246447997871142
"2",2,1.444384,49.76787,0.275822,0.339753,9.3e-05,7622.124,0.540783,0.000141,7163.236,0.534034,0.000135,4717.26,0.503415,0.000202,1.444384,49.76787,0.275822,0.339753,9.3e-05,6619.67141119516,0.526300870745666,0.000139516984807546,5872.52588353353,0.516765921533862,0.000156257220756894,400.86491772402,0.467535505101761,0.00040964416654899
"3",3,0.75234,49.42674,0.196671,0.303403,3.5e-05,8684.834,0.533385,0.000247,8196.31,0.528745,0.00023,1.470454,0.547809,0.000565,0.75234,49.42674,0.196671,0.303403,3.5e-05,7669.97315096978,0.524889465652866,0.000226560248637468,7145.75681462993,0.520652890151512,0.000249051438476915,3.40880349157934e-19,0.196385403194975,0.000637178731190119
"4",4,1.993401,46.02182,0.271007,0.054579,2.4e-05,69237.31,0.589552,0.000202,68890.12,0.585852,0.000205,67212.81,0.574515,0.000228,1.993401,46.02182,0.271007,0.054579,2.4e-05,68601.1877141185,0.582101163627094,0.000209713812055258,68034.6477237713,0.578290485104428,0.000217138246351382,66708.1526064762,0.57111259406469,0.000247071570511625
"5",5,0.988344,36.97988,0.214865,0.290643,7.7e-05,6006.677,0.527215,0.000214,5820.133,0.523528,0.000204,6135.237,0.53239,0.000624,0.988344,36.97988,0.214865,0.290643,7.7e-05,5669.95446813067,0.52035349257782,0.000215529171214317,5385.13129524826,0.515615920510184,0.00027505797546383,6.71394841493812e-13,0.283043653055959,0.00085009547543028
"6",6,0.50261,106.31488,0.303857,0.155982,9.4e-05,0,0.067085,0.000164,0,0.082704,0.000149,0,0.049951,9.9e-05,0.50261,106.31488,0.303857,0.155982,9.4e-05,5.53201041203982e-55,0.0830922856377035,0.000106098041799136,2.58148995512523e-55,0.073638420828898,9.93063499230033e-05,5.22063489460897e-58,0.0419501927356358,9.21038052186741e-05
"7",7,2.16603,115.85617,0.124771,0.306935,2.9e-05,59433.57,0.595526,0.000121,59287.43,0.593672,0.000123,58934.55,0.588636,0.000176,2.16603,115.85617,0.124771,0.306935,2.9e-05,58216.4416429984,0.591907133390728,0.0001265099705888,58111.3054736007,0.59063980482785,0.000136527600163149,1157.32028934604,0.492911703339378,0.000622816454123072
"8",8,0.844646,69.07725,0.163274,0.108541,1e-06,482932.8,0.598629,0.000665,482835.7,0.597965,0.000666,482652.9,0.596421,0.000672,0.844646,69.07725,0.163274,0.108541,1e-06,670835.995166745,0.598602330108446,0.000784225522013836,670810.48951527,0.598318512558189,0.000784915017369111,670993.062057699,0.598113647004242,0.000788315723281467
"9",9,1.050201,56.52418,0.301628,0.024908,5.8e-05,9980.451,0.547809,0.000152,9232.706,0.54037,0.000148,5906.594,0.513837,0.000231,1.050201,56.52418,0.301628,0.024908,5.8e-05,8460.88846174714,0.53277497497298,0.000151768471350851,7469.01605523653,0.524495450293768,0.000167381710330805,4.20816062101074e-10,0.594509630244818,0.000402321116049053
"10",10,0.862844,34.78289,0.39029,0.326187,3.5e-05,5315.504,0.535845,0.000271,728.4496,0.528622,0.000267,0,0.274062,0.000991,0.862844,34.78289,0.39029,0.326187,3.5e-05,1.85628417679706e-05,0.523056006313029,0.000350844143654401,9.3278510235035e-19,0.532220456957727,0.000645611973147027,7.37363922475736e-45,0.196925150012766,0.000421679034615044
