"","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"1",1.915259,68.75247,0.184562,0.367691,6.1e-05,22719.3742289786,0.598381547186141,0.000328390000577313,22714.0994975014,0.597620134882361,0.000328906867031856,22707.5272515207,0.596893884315876,0.000329758281805498,22701.436451911,0.596273439588973,0.000331140801975896,22699.0183457116,0.595843179042586,0.000333541332743505,22704.3523599738,0.595588603993837,0.000338710032369706
"2",1.444384,49.76787,0.275822,0.339753,9.3e-05,9799.13934351718,0.588822617379923,0.000296016770200955,9728.45828087122,0.584858389815587,0.000300950813262343,9632.02335230542,0.58069125996664,0.000308972428963558,9508.42350522867,0.576361086919451,0.000321903442454079,9358.82866418308,0.571949308365354,0.000343146154834672,9185.81437987012,0.567531132163633,0.000379621725839315
"3",0.75234,49.42674,0.196671,0.303403,3.5e-05,12419.5189040549,0.583515258983552,0.00046716000589767,12220.3478942842,0.578453562781776,0.00047684504640102,11946.0906343149,0.57297436458276,0.000492729749904209,11582.8057538246,0.567101661127204,0.000518214240672268,11115.8914454009,0.560924306063991,0.000559536158643968,10501.7713232468,0.554492419488431,0.000629737592045873
"4",1.993401,46.02182,0.271007,0.054579,2.4e-05,71436.8215493306,0.599819374327306,0.000634285677709089,71436.6869169737,0.59972887983989,0.000634298706445881,71436.5080268797,0.599639331323813,0.000634318487923549,71436.3100681483,0.599554590832018,0.000634346617395221,71436.1479652226,0.599481442905312,0.000634385604717599,71436.1135497797,0.599428079834935,0.000634441180800847
"5",0.988344,36.97988,0.214865,0.290643,7.7e-05,7881.14178157761,0.575684469683604,0.000382194765737303,7744.8834996795,0.569868753353332,0.000389412807795771,7568.28391582328,0.563628873638486,0.000400860922756087,7346.81389113618,0.556999916869713,0.000417920508395467,7076.39854995503,0.550020540127136,0.000443173847173923,6746.27646733767,0.542601412471388,0.000481811220183063
"6",0.50261,106.31488,0.303857,0.155982,9.4e-05,1.02343932550485e-10,0.546733385524425,0.000476622185978419,5.43088003002625e-12,0.518462342051338,0.000161979193920618,2.52093151326498e-53,0.131871212600585,0.000441120107657866,1.07944407285555e-54,0.0946173080542754,0.000233249113963765,9.06311519246313e-56,0.0649848815076919,0.00012273055707451,9.88098423920505e-58,0.0457338787183711,0.00010437283802428
"7",2.16603,115.85617,0.124771,0.306935,2.9e-05,60567.0238270973,0.599982361547729,0.00038089179816476,60567.0229476291,0.599974066459659,0.000380892112036111,60567.0234541885,0.599967820712447,0.000380892586308583,60567.0286688117,0.599965573544064,0.000380893354869825,60567.049970995,0.599965400376668,0.000380895806942749,60567.2841148706,0.599950747309294,0.000380924017317518
"8",0.844646,69.07725,0.163274,0.108541,1e-06,773524.682320645,0.599999975445245,0.00265986033234049,773524.682305763,0.599999962830667,0.00265986033222845,773524.682288267,0.599999950840307,0.00265986033209698,773524.682275578,0.599999941607622,0.00265986033200213,773524.682273165,0.599999938037015,0.00265986033198458,773524.682244939,0.599999940576388,0.00265986033176844
"9",1.050201,56.52418,0.301628,0.024908,5.8e-05,12892.8699842219,0.591518784287261,0.000337358836382918,12817.7519861754,0.58820652792965,0.000341719696356047,12712.7159842721,0.584705810165366,0.000349084962473256,12576.6129038624,0.581064392116965,0.000361532469148404,12413.9686380587,0.577399769676587,0.000383129991371924,12237.6578103701,0.573893915462714,0.000422435730707247
"10",0.862844,34.78289,0.39029,0.326187,3.5e-05,8820.61476053279,0.573042535066333,0.000446863795353489,8526.5526701873,0.567153529761549,0.000450416945294156,8108.12017999083,0.560253550756977,0.000456177562070085,7526.10871996268,0.552368638680433,0.000464843814644536,6719.23373042903,0.543635949120813,0.000477423735138752,5396.72281402707,0.533664580932079,0.000495014965002882
