Date,Time,plate-ID,Control,NaCl(M),OD680,OD750,delta_OD680,delta_OD750,Shkae,Photo after 7 days
20231031,0,1031-1,Y,0,0.034,0.04,0,0,Y,
20231031,0,1031-1,Y,0.06,0.037,0.035,0,0,Y,
20231031,0,1031-1,Y,0.2,0.035,0.036,0,0,Y,
20231031,0,1031-1,N,0,0.033,0.039,-0.001,-0.001,Y,
20231031,0,1031-1,N,0.06,0.035,0.035,-0.002,0,Y,
20231031,0,1031-1,N,0.2,0.037,0.039,0.002,0.003,Y,
20231031,0,1031-1,Y,0.3,0.036,0.038,0,0,Y,
20231031,0,1031-1,Y,0.4,0.034,0.035,0,0,Y,
20231031,0,1031-1,Y,0.6,0.034,0.037,0,0,Y,
20231031,0,1031-1,N,0.3,0.035,0.039,-0.001,0.001,Y,
20231031,0,1031-1,N,0.4,0.033,0.037,-0.001,0.002,Y,
20231031,0,1031-1,N,0.6,0.036,0.038,0.002,0.001,Y,
20231031,0,1031-2,Y,0,0.033,0.036,0,0,Y,
20231031,0,1031-2,Y,0.06,0.033,0.035,0,0,Y,
20231031,0,1031-2,Y,0.2,0.034,0.037,0,0,Y,
20231031,0,1031-2,N,0,0.034,0.034,0.001,-0.002,Y,
20231031,0,1031-2,N,0.06,0.036,0.036,0.003,0.001,Y,
20231031,0,1031-2,N,0.2,0.035,0.04,0.001,0.003,Y,
20231031,0,1031-2,Y,0.3,0.033,0.038,0,0,Y,
20231031,0,1031-2,Y,0.4,0.036,0.037,0,0,Y,
20231031,0,1031-2,Y,0.6,0.035,0.036,0,0,Y,
20231031,0,1031-2,N,0.3,0.033,0.038,0,0,Y,
20231031,0,1031-2,N,0.4,0.036,0.036,0,-0.001,Y,
20231031,0,1031-2,N,0.6,0.039,0.041,0.004,0.005,Y,
20231031,0,1031-3,Y,0,0.033,0.038,0,0,Y,
20231031,0,1031-3,Y,0.06,0.036,0.037,0,0,Y,
20231031,0,1031-3,Y,0.2,0.036,0.038,0,0,Y,
20231031,0,1031-3,N,0,0.035,0.038,0.002,0,Y,
20231031,0,1031-3,N,0.06,0.036,0.036,0,-0.001,Y,
20231031,0,1031-3,N,0.2,0.037,0.039,0.001,0.001,Y,
20231031,0,1031-3,Y,0.3,0.035,0.039,0,0,Y,
20231031,0,1031-3,Y,0.4,0.035,0.035,0,0,Y,
20231031,0,1031-3,Y,0.6,0.034,0.037,0,0,Y,
20231031,0,1031-3,N,0.3,0.033,0.039,-0.002,0,Y,
20231031,0,1031-3,N,0.4,0.032,0.034,-0.003,-0.001,Y,
20231031,0,1031-3,N,0.6,0.036,0.039,0.002,0.002,Y,
