Date,Day,Sample,Count 1,Ccount 2,Count 3,Ave,SE
20231218,0,1,132500,293000,321500,249000,58828.13953
20231218,0,2,132500,293000,321500,249000,58828.13953
20231218,0,3,132500,293000,321500,249000,58828.13953
20231219,1,1,17600,246000,233000,165533.3333,74061.80602
20231219,1,2,5830,287000,258000,183610,89283.34354
20231219,1,3,0,358000,0,119333.3333,119333.3333
20231220,2,1,211000,0,11700,74233.33333,68466.69101
20231220,2,2,46900,11700,0,19533.33333,14094.00976
20231220,2,3,0,0,0,0,0
20231221,3,1,5860,0,0,1953.333333,1127.757526
20231221,3,2,0,0,0,0,0
20231221,3,3,0,0,0,0,0
20231222,4,1,229000,23400,11700,88033.33333,50826.0687
20231222,4,2,11700,11700,0,7800,4503.3321
20231222,4,3,35200,0,82100,39100,22574.39553
20231223,5,1,5860,0,0,1953.333333,1953.333333
20231223,5,2,0,0,0,0,0
20231223,5,3,0,0,23500,7833.333333,7833.333333
20231224,6,1,29300,0,0,9766.666667,9766.666667
20231224,6,2,0,0,0,0,0
20231224,6,3,0,0,5830,1943.333333,1943.333333
